entry_date,exit_date,stocks,n_stocks,period_return
2018-07-31,2018-08-31,002682.SZ;002627.SZ;002775.SZ;000926.SZ;300145.SZ...(20),20,-0.07481550625046765
2018-08-31,2018-09-28,000980.SZ;000900.SZ;002029.SZ;000937.SZ;000709.SZ...(20),20,0.007836439645970495
2018-09-28,2018-10-31,000900.SZ;002133.SZ;000850.SZ;000926.SZ;000937.SZ...(20),20,-0.09828093573058969
2018-10-31,2018-11-30,002309.SZ;000900.SZ;002247.SZ;000701.SZ;002042.SZ...(20),20,0.12809647261054924
2018-11-30,2018-12-28,000959.SZ;000709.SZ;000932.SZ;000898.SZ;000937.SZ...(20),20,-0.0470945331358373
2018-12-28,2019-01-31,000900.SZ;000825.SZ;000898.SZ;000698.SZ;000761.SZ...(20),20,0.0010718172630498901
2019-01-31,2019-02-28,000937.SZ;000926.SZ;300158.SZ;000761.SZ;000809.SZ...(20),20,0.18720905766688292
2019-02-28,2019-03-29,000898.SZ;000965.SZ;000709.SZ;000937.SZ;000926.SZ...(20),20,0.06073410912156533
2019-03-29,2019-04-30,000898.SZ;000709.SZ;000959.SZ;000825.SZ;000937.SZ...(20),20,-0.037124234303624604
2019-04-30,2019-05-31,000926.SZ;000825.SZ;002277.SZ;000898.SZ;000959.SZ...(20),20,-0.052972314317091464
2019-05-31,2019-06-28,002110.SZ;000926.SZ;002277.SZ;002344.SZ;002128.SZ...(20),20,-0.025995887312240635
2019-06-28,2019-07-31,000898.SZ;000932.SZ;002277.SZ;000926.SZ;000900.SZ...(20),20,-0.03823010131298445
2019-07-31,2019-08-30,000900.SZ;000709.SZ;000898.SZ;000926.SZ;002133.SZ...(20),20,-0.036416639154236305
2019-08-30,2019-09-30,000898.SZ;000825.SZ;000709.SZ;000932.SZ;000900.SZ...(20),20,-0.0023354145116470217
2019-09-30,2019-10-31,000959.SZ;000900.SZ;000926.SZ;000709.SZ;002344.SZ...(20),20,-0.008032928068549623
2019-10-31,2019-11-29,000900.SZ;000932.SZ;000698.SZ;000709.SZ;000959.SZ...(20),20,0.026459481922888405
2019-11-29,2019-12-31,000900.SZ;002470.SZ;000926.SZ;002344.SZ;002377.SZ...(20),20,0.05194857367902528
2019-12-31,2020-01-23,000926.SZ;000709.SZ;000809.SZ;000937.SZ;000791.SZ...(20),20,-0.03875320004534551
2020-01-23,2020-02-28,000926.SZ;000778.SZ;000709.SZ;000825.SZ;000791.SZ...(20),20,-0.06818901052974713
2020-02-28,2020-03-31,000926.SZ;000959.SZ;000825.SZ;000709.SZ;000937.SZ...(20),20,-0.027974317304863654
2020-03-31,2020-04-30,000778.SZ;000937.SZ;000825.SZ;000898.SZ;000709.SZ...(20),20,0.006634960264113582
2020-04-30,2020-05-29,000709.SZ;000778.SZ;002936.SZ;000959.SZ;000937.SZ...(20),20,-0.022183681599832826
2020-05-29,2020-06-30,000778.SZ;000898.SZ;000761.SZ;002092.SZ;000937.SZ...(19),19,0.022810484058613717
2020-06-30,2020-07-31,000983.SZ;002936.SZ;000937.SZ;000778.SZ;000761.SZ...(20),20,0.1369922697918597
2020-07-31,2020-08-31,000900.SZ;000926.SZ;002936.SZ;000778.SZ;002133.SZ...(20),20,0.02507589547539175
2020-08-31,2020-09-30,000761.SZ;000900.SZ;000778.SZ;002133.SZ;000709.SZ...(20),20,-0.048712171972463095
2020-09-30,2020-10-30,000778.SZ;000959.SZ;000965.SZ;000926.SZ;002193.SZ...(20),20,-0.013000734682094789
2020-10-30,2020-11-30,002146.SZ;000926.SZ;000761.SZ;000778.SZ;002936.SZ...(20),20,0.05901463560147041
2020-11-30,2020-12-31,002582.SZ;000900.SZ;002146.SZ;000778.SZ;002133.SZ...(20),20,0.010994528329605374
2020-12-31,2021-01-29,002146.SZ;002133.SZ;000778.SZ;000882.SZ;000926.SZ...(20),20,-0.06736087719332746
2021-01-29,2021-02-26,000926.SZ;000965.SZ;000761.SZ;002133.SZ;002344.SZ...(18),18,0.04043251472527001
2021-02-26,2021-03-31,000882.SZ;000926.SZ;000761.SZ;000965.SZ;002344.SZ...(20),20,0.07223944465753451
2021-03-31,2021-04-30,000761.SZ;002344.SZ;002146.SZ;002133.SZ;002937.SZ...(20),20,0.005699942165697009
2021-04-30,2021-05-31,000900.SZ;002394.SZ;002936.SZ;000726.SZ;002146.SZ...(20),20,0.031929598870543315
2021-05-31,2021-06-30,000900.SZ;002936.SZ;002807.SZ;000926.SZ;000719.SZ...(20),20,-0.020823199611284905
2021-06-30,2021-07-30,002244.SZ;000900.SZ;002807.SZ;002146.SZ;002936.SZ...(20),20,-0.03189502553816045
2021-07-30,2021-08-31,002244.SZ;002394.SZ;000900.SZ;002146.SZ;002936.SZ...(20),20,0.05992684997249091
2021-08-31,2021-09-30,002936.SZ;002807.SZ;000900.SZ;002394.SZ;002133.SZ...(20),20,0.017253750463211398
2021-09-30,2021-10-29,002936.SZ;002807.SZ;002277.SZ;002966.SZ;002394.SZ...(20),20,-0.047352661535682086
2021-10-29,2021-11-30,000778.SZ;002110.SZ;002277.SZ;000900.SZ;000877.SZ...(20),20,0.002307971450859414
2021-11-30,2021-12-31,002936.SZ;002966.SZ;002807.SZ;000877.SZ;002958.SZ...(20),20,0.07804819540372629
2021-12-31,2022-01-28,002936.SZ;002966.SZ;002807.SZ;002958.SZ;000900.SZ...(20),20,-0.020908829683854612
2022-01-28,2022-02-28,000877.SZ;002394.SZ;000900.SZ;002936.SZ;000898.SZ...(20),20,0.03413517513956084
2022-02-28,2022-03-31,002958.SZ;002807.SZ;002936.SZ;002251.SZ;002394.SZ...(20),20,0.01981728353844526
