ts_code,model_prob,score_total,SC_F1,SC_F2,SC_F3,SC_F4,SC_F5,SC_F6,combo,trade_date
600272.SH,0.701,62.0,7.0,4.0,7.0,7.0,8.0,4.0,0.6686,20260828
002628.SZ,0.6413,65.5,9.0,4.0,4.0,10.0,8.0,4.0,0.6468,20260828
002190.SZ,0.6342,63.0,8.0,4.0,4.0,10.0,8.0,4.0,0.6325,20260828
002346.SZ,0.58,71.0,9.0,6.0,7.0,3.0,8.0,10.0,0.632,20260828
300005.SZ,0.6186,64.5,8.0,4.0,7.0,7.0,8.0,4.0,0.6292,20260828
