run_id,date,code,volume,available_volume,cost_price,last_price,unrealized_pnl,holding_days
20260815_203813_ba185d,2019-01-03,300087.SZ,1300,0,90.561884,87.04176,-4576.1612,1
20260815_203813_ba185d,2019-01-03,603663.SH,7000,0,17.724743,17.8947,1189.699,1
20260815_203813_ba185d,2019-01-03,002155.SZ,5900,0,20.962125,21.97608,5982.3345,1
20260815_203813_ba185d,2019-01-04,300087.SZ,1300,1300,90.561884,95.7216,6707.6308,2
20260815_203813_ba185d,2019-01-04,603663.SH,7000,7000,17.724743,17.9958,1897.399,2
20260815_203813_ba185d,2019-01-04,002155.SZ,5900,5900,20.962125,21.8694,5352.9225,2
20260815_203813_ba185d,2019-01-07,300087.SZ,1300,1300,90.561884,98.1552,9871.3108,3
20260815_203813_ba185d,2019-01-07,603663.SH,7000,7000,17.724743,19.43142,11946.739,3
20260815_203813_ba185d,2019-01-07,002155.SZ,5900,5900,20.962125,21.78939,4880.8635,3
20260815_203813_ba185d,2019-01-07,601989.SH,16600,0,7.612146,7.78766,2913.5324,1
20260815_203813_ba185d,2019-01-07,600863.SH,3100,0,40.536798,40.48618,-156.9158,1
20260815_203813_ba185d,2019-01-07,600820.SH,1000,0,117.051962,119.91701,2865.048,1
20260815_203813_ba185d,2019-01-07,603665.SH,4600,0,27.178988,28.15005,4466.8852,1
20260815_203813_ba185d,2019-01-07,300610.SZ,6100,0,20.555508,20.18162,-2280.7168,1
20260815_203813_ba185d,2019-01-08,300087.SZ,1300,1300,90.561884,97.26288,8711.2948,4
20260815_203813_ba185d,2019-01-08,603663.SH,7000,7000,17.724743,19.08768,9540.559,4
20260815_203813_ba185d,2019-01-08,002155.SZ,5900,5900,20.962125,20.82927,-783.8445,4
20260815_203813_ba185d,2019-01-08,601989.SH,16600,16600,7.612146,7.61946,121.4124,2
20260815_203813_ba185d,2019-01-08,600863.SH,3100,3100,40.536798,40.65629,370.4252,2
20260815_203813_ba185d,2019-01-08,600820.SH,1000,1000,117.051962,118.6771,1625.138,2
20260815_203813_ba185d,2019-01-08,603665.SH,4600,4600,27.178988,28.341,5345.2552,2
20260815_203813_ba185d,2019-01-08,300610.SZ,6100,6100,20.555508,19.8334,-4404.8588,2
20260815_203813_ba185d,2019-01-09,300087.SZ,1300,1300,90.561884,98.5608,10398.5908,5
20260815_203813_ba185d,2019-01-09,603663.SH,7000,7000,17.724743,19.21911,10460.569,5
20260815_203813_ba185d,2019-01-09,002155.SZ,5900,5900,20.962125,21.12264,947.0385,5
20260815_203813_ba185d,2019-01-09,601989.SH,16600,16600,7.612146,7.51854,-1553.8596,3
