run_id,date,code,volume,available_volume,cost_price,last_price,unrealized_pnl,holding_days
20260815_202143_62c2f3,2022-01-05,600694.SH,1200,0,100.766786,100.39036,-451.7112,1
20260815_202143_62c2f3,2022-01-05,600894.SH,4500,0,27.200685,26.91584,-1281.8025,1
20260815_202143_62c2f3,2022-01-05,601607.SH,600,0,205.656601,202.18572,-2082.5286,1
20260815_202143_62c2f3,2022-01-05,603839.SH,8600,0,14.471671,14.38864,-714.0666,1
20260815_202143_62c2f3,2022-01-05,601368.SH,20400,0,6.117929,6.0335,-1722.3516,1
20260815_202143_62c2f3,2022-01-05,603367.SH,8600,0,14.468887,14.2174,-2162.7882,1
20260815_202143_62c2f3,2022-01-05,002381.SZ,2600,0,46.782017,46.1538,-1633.3642,1
20260815_202143_62c2f3,2022-01-05,002033.SZ,3400,0,35.815002,35.77028,-152.0548,1
20260815_202143_62c2f3,2022-01-06,600694.SH,1200,1200,100.766786,100.69108,-90.8472,2
20260815_202143_62c2f3,2022-01-06,600894.SH,4500,4500,27.200685,26.91584,-1281.8025,2
20260815_202143_62c2f3,2022-01-06,601607.SH,600,600,205.656601,204.09408,-937.5126,2
20260815_202143_62c2f3,2022-01-06,603839.SH,8600,8600,14.471671,14.48608,123.9174,2
20260815_202143_62c2f3,2022-01-06,601368.SH,20400,20400,6.117929,6.09932,-379.6236,2
20260815_202143_62c2f3,2022-01-06,603367.SH,8600,8600,14.468887,14.4296,-337.8682,2
20260815_202143_62c2f3,2022-01-06,002381.SZ,2600,2600,46.782017,46.1538,-1633.3642,2
20260815_202143_62c2f3,2022-01-06,002033.SZ,3400,3400,35.815002,35.8267,39.7732,2
20260815_202143_62c2f3,2022-01-07,600694.SH,1200,1200,100.766786,100.84144,89.5848,3
20260815_202143_62c2f3,2022-01-07,600894.SH,4500,4500,27.200685,26.77248,-1926.9225,3
20260815_202143_62c2f3,2022-01-07,601607.SH,600,600,205.656601,204.8976,-455.4006,3
20260815_202143_62c2f3,2022-01-07,603839.SH,8600,8600,14.471671,14.19376,-2390.0346,3
20260815_202143_62c2f3,2022-01-07,601368.SH,20400,20400,6.117929,5.98962,-2617.5036,3
20260815_202143_62c2f3,2022-01-07,603367.SH,8600,8600,14.468887,14.1113,-3075.2482,3
20260815_202143_62c2f3,2022-01-07,002381.SZ,2600,2600,46.782017,45.584,-3114.8442,3
20260815_202143_62c2f3,2022-01-07,002033.SZ,3400,3400,35.815002,34.9804,-2837.6468,3
20260815_202143_62c2f3,2022-01-10,600694.SH,1200,1200,100.766786,101.59324,991.7448,4
20260815_202143_62c2f3,2022-01-10,600894.SH,4500,4500,27.200685,27.34592,653.5575,4
20260815_202143_62c2f3,2022-01-10,601607.SH,600,600,205.656601,204.8976,-455.4006,4
