run_id,date,total_asset,cash,market_value,daily_return,benchmark_close,benchmark_return
20260816_132802_5fb287,2019-01-02,1000000.0,1000000.0,0,0.0,2969.535,0.0
20260816_132802_5fb287,2019-01-03,1001423.243797,822836.105797,178587.138,0.00142324,2964.842,-0.00158038
20260816_132802_5fb287,2019-01-04,1006675.625797,822836.105797,183839.52,0.00524492,3035.874,0.02395811
20260816_132802_5fb287,2019-01-07,1016836.022571,516907.139571,499928.883,0.01009302,3054.303,0.00607041
20260816_132802_5fb287,2019-01-08,1008855.913152,35968.859152,972887.054,-0.00784798,3047.703,-0.00216089
20260816_132802_5fb287,2019-01-09,1007566.981152,35968.859152,971598.122,-0.00127762,3078.475,0.01009678
20260816_132802_5fb287,2019-01-10,1002504.153152,35968.859152,966535.294,-0.00502481,3072.686,-0.00188048
20260816_132802_5fb287,2019-01-11,996820.605152,35968.859152,960851.746,-0.00566935,3094.778,0.0071898
20260816_132802_5fb287,2019-01-14,996081.031152,35968.859152,960112.172,-0.00074193,3067.784,-0.00872244
20260816_132802_5fb287,2019-01-15,1001482.088833,81980.615833,919501.473,0.00542231,3127.99,0.01962524
20260816_132802_5fb287,2019-01-16,995535.486307,24604.170307,970931.316,-0.0059378,3128.651,0.00021132
20260816_132802_5fb287,2019-01-17,988444.653307,24604.170307,963840.483,-0.00712263,3111.416,-0.00550876
20260816_132802_5fb287,2019-01-18,991365.960307,24604.170307,966761.79,0.00295546,3168.173,0.01824153
20260816_132802_5fb287,2019-01-21,991108.577307,24604.170307,966504.407,-0.00025962,3185.636,0.00551201
20260816_132802_5fb287,2019-01-22,982408.478307,24604.170307,957804.308,-0.00877815,3143.317,-0.01328432
20260816_132802_5fb287,2019-01-23,987240.918307,24604.170307,962636.748,0.00491897,3141.053,-0.00072026
20260816_132802_5fb287,2019-01-24,988880.476307,24604.170307,964276.306,0.00166075,3158.781,0.00564397
20260816_132802_5fb287,2019-01-25,984766.066307,24604.170307,960161.896,-0.00416067,3184.469,0.00813225
20260816_132802_5fb287,2019-01-28,986760.840307,24604.170307,962156.67,0.00202563,3183.777,-0.0002173
20260816_132802_5fb287,2019-01-29,982343.345307,24604.170307,957739.175,-0.00447676,3193.969,0.00320123
20260816_132802_5fb287,2019-01-30,976449.811307,24604.170307,951845.641,-0.00599946,3168.482,-0.00797973
20260816_132802_5fb287,2019-01-31,965240.968307,24604.170307,940636.798,-0.01147918,3201.633,0.01046274
20260816_132802_5fb287,2019-02-01,971401.209176,77561.930176,893839.279,0.00638208,3247.397,0.01429396
20260816_132802_5fb287,2019-02-11,974290.785411,24020.289411,950270.496,0.00297465,3306.472,0.01819149
20260816_132802_5fb287,2019-02-12,982229.099192,72476.878192,909752.221,0.00814779,3330.335,0.00721706
20260816_132802_5fb287,2019-02-13,991149.446793,14393.565793,976755.881,0.00908174,3397.027,0.02002561
20260816_132802_5fb287,2019-02-14,993930.407793,14393.565793,979536.842,0.00280579,3402.14,0.00150514
20260816_132802_5fb287,2019-02-15,992158.363793,14393.565793,977764.798,-0.00178287,3338.704,-0.01864591
20260816_132802_5fb287,2019-02-18,1013557.615793,14393.565793,999164.05,0.02156838,3445.744,0.03206034
20260816_132802_5fb287,2019-02-19,1008012.701793,14393.565793,993619.136,-0.00547074,3439.607,-0.00178104
20260816_132802_5fb287,2019-02-20,1011197.654793,14393.565793,996804.089,0.00315964,3451.927,0.0035818
20260816_132802_5fb287,2019-02-21,1004904.242793,14393.565793,990510.677,-0.00622372,3442.705,-0.00267155
20260816_132802_5fb287,2019-02-22,1013793.224793,14393.565793,999399.659,0.0088456,3520.118,0.0224861
