run_id,date,code,volume,available_volume,cost_price,last_price,unrealized_pnl,holding_days
20260815_200406_ce61ef,2021-06-02,600479.SH,1000,0,121.137864,120.9866,-151.264,1
20260815_200406_ce61ef,2021-06-02,002347.SZ,7600,0,16.430127,16.44804,136.1388,1
20260815_200406_ce61ef,2021-06-02,600663.SH,800,0,155.382825,165.1368,7803.18,1
20260815_200406_ce61ef,2021-06-02,000828.SZ,2900,0,42.499568,41.08083,-4114.3402,1
20260815_200406_ce61ef,2021-06-02,603808.SH,3500,0,34.887063,33.9735,-3197.4705,1
20260815_200406_ce61ef,2021-06-02,002191.SZ,1700,0,72.908961,70.81088,-3566.7377,1
20260815_200406_ce61ef,2021-06-02,603001.SH,10200,0,12.167894,12.2813,1156.7412,1
20260815_200406_ce61ef,2021-06-02,000595.SZ,10100,0,12.311213,11.8992,-4161.3313,1
20260815_200406_ce61ef,2021-06-03,600479.SH,1000,1000,121.137864,121.9834,845.536,2
20260815_200406_ce61ef,2021-06-03,002347.SZ,7600,7600,16.430127,16.44804,136.1388,2
20260815_200406_ce61ef,2021-06-03,600663.SH,800,800,155.382825,181.7168,21067.18,2
20260815_200406_ce61ef,2021-06-03,000828.SZ,2900,2900,42.499568,42.74178,702.4148,2
20260815_200406_ce61ef,2021-06-03,603808.SH,3500,3500,34.887063,34.69125,-685.3455,2
20260815_200406_ce61ef,2021-06-03,002191.SZ,1700,1700,72.908961,71.37536,-2607.1217,2
20260815_200406_ce61ef,2021-06-03,603001.SH,10200,10200,12.167894,12.58994,4304.8692,2
20260815_200406_ce61ef,2021-06-03,000595.SZ,10100,10100,12.311213,12.49416,1847.7647,2
20260815_200406_ce61ef,2021-06-04,600479.SH,1000,1000,121.137864,122.4818,1343.936,3
20260815_200406_ce61ef,2021-06-04,002347.SZ,7600,7600,16.430127,16.48647,428.2068,3
20260815_200406_ce61ef,2021-06-04,600663.SH,800,800,155.382825,193.38912,30405.036,3
20260815_200406_ce61ef,2021-06-04,000828.SZ,2900,2900,42.499568,42.74178,702.4148,3
